load,seed,last_reward
0.3,0,-3.726708074534162
0.3,1,-3.726708074534162
0.3,2,-3.726708074534162
0.3,3,-3.726708074534162
0.3,4,-3.726708074534162
0.5,0,-4.444444444444445
0.5,1,-4.444444444444445
0.5,2,-4.444444444444445
0.5,3,-4.444444444444445
0.5,4,-14.606420963856964
0.7,0,-5.504587155963301
0.7,1,-10.14835374259766
0.7,2,-10.14835374259766
0.7,3,-10.14835374259766
0.7,4,-10.14835374259766
0.9,0,-10.837194144870292
0.9,1,-10.837194144870292
0.9,2,-10.837194144870292
0.9,3,-10.837194144870292
0.9,4,-10.837194144870292
1.1,0,-10.526315789473689
1.1,1,-10.526315789473689
1.1,2,-10.526315789473689
1.1,3,-10.526315789473689
1.1,4,-10.526315789473689
